Date,Time,Exercise,# of Reps,Weight,Notes
4/25/2023,14:05,Triceps Extension,15,50,
4/25/2023,14:05,Triceps Extension,12,65,
4/25/2023,14:05,Triceps Extension,12,65,
4/25/2023,14:05,Triceps Extension,12,65,
4/25/2023,14:05,Triceps Extension,10,72.5,
4/25/2023,14:05,Triceps Extension,5,72.5,
4/25/2023,14:05,Triceps Extension,10,50,
4/25/2023,13:51,Biceps Curl,12,85,
4/25/2023,13:51,Biceps Curl,12,85,
4/25/2023,13:51,Biceps Curl,10,100,
4/25/2023,13:51,Biceps Curl,10,100,
4/25/2023,13:51,Biceps Curl,8,115,
4/25/2023,13:51,Biceps Curl,8,115,
4/22/2023,8:01,Dips,10,150,
4/22/2023,8:01,Dips,10,150,
4/22/2023,8:01,Dips,8,180,
4/22/2023,8:01,Dips,7,180,
4/22/2023,8:01,Dips,7,180,
4/22/2023,8:01,Dips,6,180,
4/22/2023,7:51,Pulldown,10,100,
4/22/2023,7:51,Pulldown,10,100,
4/22/2023,7:51,Pulldown,15,100,
4/22/2023,7:51,Pulldown,10,120,
4/22/2023,7:51,Pulldown,10,120,
4/22/2023,7:51,Pulldown,10,120,
4/22/2023,7:51,Pulldown,8,145,
4/22/2023,7:39,Shoulder Shrug,15,70,
4/22/2023,7:39,Shoulder Shrug,15,70,
4/22/2023,7:39,Shoulder Shrug,10,90,
4/22/2023,7:39,Shoulder Shrug,12,90,
4/22/2023,7:39,Shoulder Shrug,10,120,
4/22/2023,7:39,Shoulder Shrug,10,120,
4/22/2023,7:39,Shoulder Shrug,8,120,
4/22/2023,7:36,Seated Calf Raise,22,250,
4/22/2023,7:36,Seated Calf Raise,22,250,
4/22/2023,7:36,Seated Calf Raise,23,280,
4/22/2023,7:36,Seated Calf Raise,15,280,
4/22/2023,7:36,Seated Calf Raise,20,280,
4/20/2023,6:47,Leg Extension,15,100,
4/20/2023,6:47,Leg Extension,20,100,
4/20/2023,6:47,Leg Extension,15,130,
4/20/2023,6:47,Leg Extension,20,130,
4/20/2023,6:47,Leg Extension,10,160,
4/20/2023,6:47,Leg Extension,10,160,
4/20/2023,6:35,Triceps Extension,22,50,
4/20/2023,6:35,Triceps Extension,15,50,
4/20/2023,6:35,Triceps Extension,15,50,
4/20/2023,6:35,Triceps Extension,10,65,
4/20/2023,6:35,Triceps Extension,10,65,
4/20/2023,6:35,Triceps Extension,10,65,
4/20/2023,6:35,Triceps Extension,9,65,
4/20/2023,6:23,Seated Calf Raise,20,235,
4/20/2023,6:23,Seated Calf Raise,20,235,
4/20/2023,6:23,Seated Calf Raise,16,265,
4/20/2023,6:23,Seated Calf Raise,15,265,
4/20/2023,6:23,Seated Calf Raise,17,295,
4/20/2023,6:23,Seated Calf Raise,15,295,
4/20/2023,6:23,Seated Calf Raise,16,295,
4/20/2023,6:23,Seated Calf Raise,15,295,
4/20/2023,6:11,Leg Curl,15,100,
4/20/2023,6:11,Leg Curl,12,130,
4/20/2023,6:11,Leg Curl,15,145,
4/20/2023,6:11,Leg Curl,8,190,
4/20/2023,6:11,Leg Curl,8,190,
